package	bookworm	trixie
libexpat1:amd64	2.5.0-1+deb12u3	2.8.3-1~deb13u1
libext2fs2:amd64	1.47.0-2+b2	NOT INSTALLED
libfdisk1:amd64	2.38.1-5+deb12u3	NOT INSTALLED
libffi8:amd64	3.4.4-1	3.4.8-2
libfontconfig1:amd64	2.14.1-4	2.15.0-2.3
libfreetype6:amd64	2.12.1+dfsg-5+deb12u4	2.13.3+dfsg-1+deb13u1
libgcc-12-dev:amd64	12.2.0-14+deb12u1	NOT INSTALLED
libgcc-14-dev:amd64	NOT INSTALLED	14.2.0-19
libgcc-s1:amd64	12.2.0-14+deb12u1	14.2.0-19
libgcrypt20:amd64	1.10.1-3+deb12u1	NOT INSTALLED
libgdbm-compat4:amd64	1.23-3	NOT INSTALLED
libgdbm-compat4t64:amd64	NOT INSTALLED	1.24-2
libgdbm6:amd64	1.23-3	NOT INSTALLED
libgdbm6t64:amd64	NOT INSTALLED	1.24-2
libgirepository-1.0-1:amd64	1.74.0-3	NOT INSTALLED
libglib2.0-0:amd64	2.74.6-2+deb12u9	NOT INSTALLED
libglib2.0-bin	2.74.6-2+deb12u9	NOT INSTALLED
libglib2.0-data	2.74.6-2+deb12u9	NOT INSTALLED
libgmp-dev:amd64	2:6.2.1+dfsg1-1.1	2:6.3.0+dfsg-3
libgmp10:amd64	2:6.2.1+dfsg1-1.1	2:6.3.0+dfsg-3
libgmpxx4ldbl:amd64	2:6.2.1+dfsg1-1.1	2:6.3.0+dfsg-3
libgnutls-dane0:amd64	3.7.9-2+deb12u7	NOT INSTALLED
libgnutls-dane0t64:amd64	NOT INSTALLED	3.8.9-3+deb13u4
libgnutls-openssl27:amd64	3.7.9-2+deb12u7	NOT INSTALLED
libgnutls-openssl27t64:amd64	NOT INSTALLED	3.8.9-3+deb13u4
libgnutls28-dev:amd64	3.7.9-2+deb12u7	3.8.9-3+deb13u4
libgnutls30:amd64	3.7.9-2+deb12u7	NOT INSTALLED
libgnutls30t64:amd64	NOT INSTALLED	3.8.9-3+deb13u4
libgnutlsxx30:amd64	3.7.9-2+deb12u7	NOT INSTALLED
libgomp1:amd64	12.2.0-14+deb12u1	14.2.0-19
libgpg-error0:amd64	1.46-1	NOT INSTALLED
libgprofng0:amd64	2.40-2	2.44-3
libgssapi-krb5-2:amd64	1.20.1-2+deb12u5	1.21.3-5+deb13u1
libgstreamer1.0-0:amd64	1.22.0-2+deb12u1	NOT INSTALLED
libhogweed6:amd64	3.8.1-2	NOT INSTALLED
libhogweed6t64:amd64	NOT INSTALLED	3.10.1-1
libhwasan0:amd64	NOT INSTALLED	14.2.0-19
libicu72:amd64	72.1-3+deb12u1	NOT INSTALLED
libidn2-0:amd64	2.3.3-1+b1	2.3.8-2
libidn2-dev:amd64	2.3.3-1+b1	2.3.8-2
libip4tc2:amd64	1.8.9-2	NOT INSTALLED
libisl23:amd64	0.25-1.1	0.27-1
libitm1:amd64	12.2.0-14+deb12u1	14.2.0-19
libjansson4:amd64	2.14-2	2.14-2+b3
libjs-sphinxdoc	5.3.0-4	8.1.3-5
libjson-c5:amd64	0.16-2	NOT INSTALLED
libk5crypto3:amd64	1.20.1-2+deb12u5	1.21.3-5+deb13u1
libkeyutils1:amd64	1.6.3-2	1.6.3-6
libkmod2:amd64	30+20221128-1	NOT INSTALLED
libkrb5-3:amd64	1.20.1-2+deb12u5	1.21.3-5+deb13u1
libkrb5support0:amd64	1.20.1-2+deb12u5	1.21.3-5+deb13u1
liblastlog2-2:amd64	NOT INSTALLED	2.41.5-0+deb13u1
libldap-2.5-0:amd64	2.5.13+dfsg-5	NOT INSTALLED
libldap2:amd64	NOT INSTALLED	2.6.10+dfsg-1
liblsan0:amd64	12.2.0-14+deb12u1	14.2.0-19
liblz4-1:amd64	1.9.4-1	1.10.0-4
liblzma5:amd64	5.4.1-1+deb12u2	5.8.1-1+deb13u1
libmd0:amd64	1.0.4-2	1.1.0-2+b1
libmount1:amd64	2.38.1-5+deb12u3	2.41.5-0+deb13u1
libmpc3:amd64	1.3.1-1	1.3.1-1+b3
libmpfr6:amd64	4.2.0-1	4.2.2-1
libncursesw6:amd64	6.4-4	6.5+20250216-2
libnettle8:amd64	3.8.1-2	NOT INSTALLED
libnettle8t64:amd64	NOT INSTALLED	3.10.1-1
libnghttp2-14:amd64	1.52.0-1+deb12u3	1.64.0-1.1+deb13u1
libnghttp3-9:amd64	NOT INSTALLED	1.8.0-1
libngtcp2-16:amd64	NOT INSTALLED	1.11.0-1+deb13u1
libngtcp2-crypto-gnutls8:amd64	NOT INSTALLED	1.11.0-1+deb13u1
libnsl-dev:amd64	1.3.0-2	NOT INSTALLED
libnsl2:amd64	1.3.0-2	NOT INSTALLED
libp11-kit-dev:amd64	0.24.1-2	0.25.5-3
libp11-kit0:amd64	0.24.1-2	0.25.5-3
libpackagekit-glib2-18:amd64	1.2.6-5+deb12u1	NOT INSTALLED
libpam-modules-bin	1.5.2-6+deb12u2	1.7.0-5
libpam-modules:amd64	1.5.2-6+deb12u2	1.7.0-5
libpam-runtime	1.5.2-6+deb12u2	1.7.0-5
libpam-systemd:amd64	252.39-1~deb12u2	NOT INSTALLED
libpam0g:amd64	1.5.2-6+deb12u2	1.7.0-5
libpcre2-8-0:amd64	10.42-1+deb12u1	10.46-1~deb13u2
libperl5.36:amd64	5.36.0-7+deb12u3	NOT INSTALLED
libperl5.40:amd64	NOT INSTALLED	5.40.1-6+deb13u1
libpng16-16:amd64	1.6.39-2+deb12u5	NOT INSTALLED
libpng16-16t64:amd64	NOT INSTALLED	1.6.48-1+deb13u5
libpolkit-agent-1-0:amd64	122-3	NOT INSTALLED
libpolkit-gobject-1-0:amd64	122-3	NOT INSTALLED
libpq5:amd64	15.19-0+deb12u1	17.11-0+deb13u1
libpsl5:amd64	0.21.2-1	NOT INSTALLED
libpsl5t64:amd64	NOT INSTALLED	0.21.2-1.1+b1
libpython3-dev:amd64	3.11.2-1+b1	3.13.5-1
libpython3-stdlib:amd64	3.11.2-1+b1	3.13.5-1
libpython3.11-dev:amd64	3.11.2-6+deb12u8	NOT INSTALLED
